what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775128414
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775130508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775132117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775133992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775136789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775144461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775150914
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775151820
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775152805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775153086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775153461
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775156852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775163242
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775164117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775164399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775164727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775171680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775173852
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775174477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775174742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775175133
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775183430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775185321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775185493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775185524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775185524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775189352
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775190336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775191805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775191961
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775192008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775192008
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775194727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775194993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775195321
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775196993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775198415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775198602
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775198665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775198665
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775203040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775205274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775222681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775223915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775265119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775268556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775270728
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775272666
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775274541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775285400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775285931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775287244
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775288635
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775290463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775294260
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775297057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775298838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775305057
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775306057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775307322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775308838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775310400
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775311494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775311775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775312104
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775315213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775319588
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775320385
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775321822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775325026
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775325776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775326041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775326807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775327979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775328010
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349775328026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775333104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775333104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775333198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775420793
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775422855
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775424496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775429652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775430558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775449136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775451652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775452261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775454230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775459152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775467402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775486058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775506355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775508699
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775510214
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775511902
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775516996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775518058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775518199
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775518246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775518246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775519996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775520168
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775520214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775520214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775523808
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775530464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775531058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775531277
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775531339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775531339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775533027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775533183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775533230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.nextEditor",1349775533230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775537621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775539027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775552277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775558511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775565324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775572480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775587308
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775587527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775587730
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775587839
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775587980
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775588152
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775588293
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1349775588464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349775589043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349775590933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775592121
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349775593089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775593386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775594074
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349775595121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775595121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775595730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775607980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775609246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775670246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775679105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775680386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775681043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775681683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775682511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775688308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775691793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349775695730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775715777
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349775718074
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775720418
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775721949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775727558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775731777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775739886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349775742371
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775745652
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775745652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349775753464
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349775756245
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1349775756245
