what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.type.hierarchy",1349770540647
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1349770542506
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770542568
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770542615
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1349770546693
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770546740
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770546787
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770553287
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770553287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1349770553303
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770554974
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770554974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1349770555084
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1349770557974
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770558037
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770558084
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770566130
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349770566130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1349770566224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349770578849
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770579396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770580802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770581974
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770584568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770585005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770585989
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770594661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770594677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770596036
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770600192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770600192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770601552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770603130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770604223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349770614317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349770640801
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770642160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770642160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770644457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770644488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770646176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770646176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770649988
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349770655785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770655801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770656629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770658097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770659176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770659176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770659832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770660738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770661285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349770668472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349770670066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349770671394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770674082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770689441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349770747611
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1349770773955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349770789986
